-3,-2,-1,0,1,2,3
"96,49","101,082","105,673","110,265","114,856","119,448","124,039"
"96,933","101,555","106,178","110,801","115,423","120,046","124,668"
"97,373","102,026","106,68","111,334","115,988","120,641","125,295"
"97,812","102,496","107,18","111,864","116,547","121,231","125,915"
"98,245","102,96","107,675","112,39","117,104","121,819","126,534"
"98,674","103,42","108,165","112,911","117,657","122,402","127,148"
"99,099","103,875","108,652","113,428","118,204","122,981","127,757"
"99,523","104,329","109,135","113,941","118,747","123,553","128,359"
"99,94","104,777","109,613","114,45","119,287","124,123","128,96"
"100,353","105,22","110,088","114,955","119,822","124,689","129,556"
"100,766","105,662","110,558","115,455","120,351","125,248","130,144"
"101,171","106,097","111,024","115,951","120,878","125,804","130,731"
"101,572","106,529","111,486","116,443","121,4","126,357","131,314"
"101,974","106,96","111,946","116,932","121,919","126,905","131,891"
"102,371","107,387","112,403","117,42","122,436","127,452","132,468"
"102,766","107,812","112,858","117,905","122,951","127,997","133,044"
"103,162","108,237","113,313","118,388","123,463","128,539","133,614"
"103,554","108,659","113,765","118,87","123,975","129,081","134,186"
"103,944","109,079","114,215","119,351","124,486","129,622","134,758"
"104,333","109,499","114,664","119,83","124,996","130,162","135,328"
"104,724","109,919","115,114","120,308","125,503","130,698","135,893"
"105,11","110,335","115,56","120,785","126,01","131,236","136,461"
"105,494","110,75","116,005","121,26","126,516","131,771","137,027"
"105,877","111,162","116,448","121,734","127,019","132,305","137,591"
"106,258","111,573","116,889","122,205","127,521","132,837","138,153"
"106,636","111,983","117,329","122,675","128,021","133,367","138,714"
"107,014","112,39","117,766","123,143","128,519","133,896","139,272"
"107,389","112,796","118,203","123,609","129,016","134,423","139,829"
"107,763","113,2","118,637","124,074","129,511","134,947","140,384"
"108,135","113,602","119,069","124,536","130,003","135,47","140,938"
"108,504","114,002","119,499","124,996","130,494","135,991","141,488"
"108,872","114,399","119,927","125,454","130,982","136,51","142,037"
"109,237","114,795","120,353","125,91","131,468","137,026","142,583"
"109,601","115,188","120,776","126,364","131,952","137,54","143,127"
"109,962","115,58","121,198","126,816","132,434","138,051","143,669"
"110,321","115,969","121,617","127,265","132,913","138,561","144,209"
"110,679","116,357","122,035","127,713","133,391","139,069","144,747"
"111,034","116,743","122,451","128,159","133,867","139,575","145,284"
"111,389","117,127","122,865","128,603","134,342","140,08","145,818"
"111,741","117,51","123,278","129,047","134,815","140,583","146,352"
"112,093","117,892","123,69","129,489","135,287","141,086","146,884"
"112,44","118,27","124,1","129,93","135,76","141,59","147,42"
"112,79","118,65","124,51","130,37","136,231","142,091","147,951"
"113,139","119,03","124,92","130,81","136,701","142,591","148,481"
"113,488","119,408","125,329","131,25","137,17","143,091","149,011"
"113,835","119,786","125,737","131,688","137,639","143,59","149,541"
"114,183","120,164","126,146","132,127","138,108","144,09","150,071"
"114,53","120,542","126,553","132,565","138,577","144,589","150,601"
"114,876","120,918","126,961","133,003","139,045","145,088","151,13"
"115,222","121,295","127,368","133,44","139,513","145,586","151,659"
"115,567","121,67","127,774","133,877","139,98","146,084","152,187"
"115,915","122,048","128,18","134,313","140,446","146,578","152,711"
"116,258","122,422","128,585","134,748","140,912","147,075","153,238"
"116,601","122,795","128,989","135,183","141,377","147,571","153,765"
"116,946","123,17","129,393","135,617","141,84","148,064","154,287"
"117,287","123,542","129,796","136,05","142,304","148,559","154,813"
"117,632","123,916","130,199","136,483","142,767","149,05","155,334"
"117,972","124,286","130,601","136,915","143,23","149,544","155,859"
"118,315","124,659","131,003","137,347","143,691","150,036","156,38"
"118,658","125,032","131,406","137,78","144,153","150,527","156,901"
"119,002","125,405","131,809","138,212","144,615","151,019","157,422"
"119,346","125,779","132,212","138,645","145,078","151,511","157,945"
"119,691","126,154","132,617","139,08","145,543","152,006","158,469"
"120,037","126,53","133,023","139,516","146,009","152,502","158,995"
"120,384","126,907","133,431","139,954","146,477","153,001","159,524"
"120,738","127,29","133,843","140,395","146,947","153,499","160,051"
"121,09","127,673","134,256","140,839","147,422","154,004","160,587"
"121,449","128,062","134,674","141,286","147,898","154,51","161,122"
"121,811","128,453","135,095","141,737","148,379","155,02","161,662"
"122,177","128,848","135,52","142,192","148,863","155,535","162,206"
"122,545","129,247","135,948","142,65","149,352","156,054","162,755"
"122,921","129,651","136,382","143,113","149,843","156,574","163,304"
"123,296","130,057","136,818","143,58","150,341","157,102","163,863"
"123,679","130,47","137,261","144,051","150,842","157,632","164,423"
"124,067","130,887","137,707","144,528","151,348","158,168","164,988"
"124,463","131,312","138,161","145,009","151,858","158,707","165,556"
"124,859","131,738","138,617","145,496","152,375","159,255","166,134"
"125,264","132,173","139,081","145,989","152,897","159,806","166,714"
"125,675","132,612","139,55","146,488","153,425","160,363","167,301"
"126,09","133,058","140,025","146,993","153,96","160,928","167,895"
"126,511","133,509","140,507","147,504","154,502","161,499","168,497"
"126,943","133,969","140,996","148,022","155,049","162,076","169,102"
"127,38","134,436","141,492","148,548","155,604","162,66","169,716"
"127,823","134,909","141,995","149,081","156,167","163,252","170,338"
"128,278","135,392","142,507","149,621","156,736","163,85","170,965"
"128,734","135,879","143,024","150,169","157,314","164,46","171,605"
"129,207","136,38","143,553","150,726","157,899","165,072","172,245"
"129,681","136,884","144,087","151,29","158,493","165,696","172,899"
"130,167","137,399","144,631","151,862","159,094","166,326","173,557"
"130,66","137,921","145,182","152,442","159,703","166,964","174,225"
"131,163","138,452","145,741","153,03","160,319","167,607","174,896"
"131,668","138,986","146,305","153,623","160,942","168,261","175,579"
"132,185","139,531","146,877","154,222","161,568","168,914","176,259"
"132,703","140,077","147,451","154,826","162,2","169,575","176,949"
"133,228","140,629","148,031","155,433","162,835","170,236","177,638"
"133,76","141,187","148,615","156,043","163,47","170,898","178,325"
"134,293","141,747","149,2","156,654","164,107","171,561","179,015"
"134,827","142,307","149,786","157,266","164,746","172,225","179,705"
"135,361","142,867","150,372","157,878","165,383","172,888","180,394"
"135,898","143,428","150,957","158,487","166,017","173,547","181,076"
"136,437","143,989","151,542","159,094","166,646","174,198","181,75"
"136,968","144,544","152,12","159,696","167,272","174,848","182,424"
"137,5","145,098","152,696","160,294","167,892","175,49","183,088"
"138,032","145,65","153,268","160,886","168,504","176,122","183,74"
"138,559","146,197","153,834","161,472","169,11","176,747","184,385"
"139,08","146,737","154,394","162,05","169,707","177,364","185,021"
"139,594","147,269","154,945","162,621","170,296","177,972","185,648"
"140,104","147,797","155,489","163,182","170,874","178,566","186,259"
"140,611","148,318","156,025","163,732","171,439","179,146","186,853"
"141,104","148,827","156,549","164,272","171,994","179,717","187,439"
"141,592","149,328","157,064","164,799","172,535","180,271","188,006"
"142,07","149,818","157,566","165,314","173,063","180,811","188,559"
"142,541","150,299","158,058","165,816","173,575","181,334","189,092"
"143,001","150,769","158,537","166,305","174,073","181,841","189,609"
"143,449","151,226","159,003","166,78","174,557","182,334","190,111"
"143,886","151,671","159,456","167,242","175,027","182,812","190,597"
"144,317","152,108","159,899","167,69","175,481","183,272","191,063"
"144,738","152,534","160,33","168,126","175,921","183,717","191,513"
"145,147","152,947","160,748","168,548","176,349","184,149","191,949"
"145,545","153,35","161,154","168,958","176,762","184,566","192,371"
"145,938","153,744","161,549","169,355","177,16","184,966","192,772"
"146,32","154,126","161,933","169,739","177,545","185,351","193,158"
"146,691","154,497","162,304","170,11","177,916","185,723","193,529"
"147,051","154,857","162,662","170,468","178,274","186,079","193,885"
"147,4","155,205","163,009","170,814","178,618","186,423","194,227"
"147,739","155,542","163,344","171,147","178,949","186,752","194,555"
"148,073","155,871","163,67","171,468","179,266","187,065","194,863"
"148,392","156,187","163,982","171,777","179,573","187,368","195,163"
"148,705","156,495","164,285","172,075","179,865","187,654","195,444"
"149,009","156,793","164,577","172,361","180,144","187,928","195,712"
"149,298","157,077","164,856","172,634","180,413","188,192","195,971"
"149,582","157,353","165,125","172,897","180,668","188,44","196,212"
"149,855","157,619","165,383","173,147","180,911","188,675","196,439"
"150,119","157,875","165,63","173,386","181,141","188,897","196,652"
"150,373","158,119","165,866","173,613","181,359","189,106","196,852"
