-3,-2,-1,0,1,2,3
"12,952","13,941","15,172","16,763","18,923","22,09","27,367"
"12,976","13,969","15,206","16,806","18,982","22,18","27,533"
"13,001","13,998","15,241","16,85","19,042","22,271","27,698"
"13,026","14,027","15,276","16,894","19,102","22,362","27,863"
"13,051","14,056","15,312","16,939","19,163","22,452","28,027"
"13,077","14,087","15,348","16,985","19,224","22,544","28,192"
"13,103","14,117","15,385","17,031","19,287","22,637","28,357"
"13,13","14,148","15,422","17,078","19,349","22,729","28,52"
"13,157","14,18","15,461","17,126","19,413","22,822","28,684"
"13,185","14,212","15,499","17,175","19,477","22,915","28,846"
"13,213","14,245","15,539","17,224","19,542","23,009","29,008"
"13,241","14,278","15,578","17,273","19,607","23,104","29,169"
"13,27","14,312","15,619","17,324","19,674","23,199","29,329"
"13,3","14,347","15,66","17,375","19,741","23,293","29,487"
"13,33","14,382","15,702","17,427","19,808","23,389","29,645"
"13,36","14,417","15,745","17,48","19,877","23,485","29,802"
"13,391","14,453","15,788","17,533","19,946","23,581","29,957"
"13,422","14,49","15,833","17,588","20,015","23,677","30,11"
"13,454","14,528","15,877","17,643","20,086","23,774","30,262"
"13,487","14,566","15,923","17,698","20,157","23,871","30,412"
"13,52","14,605","15,969","17,755","20,229","23,969","30,561"
"13,554","14,644","16,016","17,812","20,302","24,067","30,708"
"13,588","14,684","16,063","17,87","20,375","24,165","30,854"
"13,622","14,724","16,112","17,929","20,449","24,263","30,998"
"13,658","14,766","16,161","17,989","20,524","24,362","31,138"
"13,693","14,807","16,21","18,049","20,599","24,46","31,278"
"13,729","14,849","16,26","18,11","20,675","24,559","31,417"
"13,766","14,892","16,311","18,171","20,751","24,658","31,551"
"13,802","14,935","16,362","18,233","20,829","24,757","31,686"
"13,839","14,979","16,414","18,296","20,906","24,856","31,816"
"13,877","15,023","16,466","18,359","20,984","24,954","31,945"
"13,915","15,067","16,519","18,422","21,062","25,053","32,073"
"13,953","15,112","16,572","18,486","21,14","25,152","32,197"
"13,991","15,157","16,625","18,55","21,219","25,249","32,317"
"14,029","15,202","16,679","18,615","21,298","25,347","32,436"
"14,068","15,247","16,733","18,68","21,376","25,444","32,551"
"14,107","15,293","16,787","18,744","21,455","25,54","32,663"
"14,145","15,338","16,841","18,81","21,534","25,635","32,772"
"14,184","15,384","16,895","18,875","21,613","25,731","32,88"
"14,222","15,429","16,95","18,94","21,691","25,825","32,985"
"14,261","15,475","17,004","19,005","21,77","25,918","33,084"
"14,299","15,521","17,058","19,07","21,848","26,011","33,182"
"14,337","15,566","17,113","19,135","21,926","26,103","33,279"
"14,375","15,611","17,167","19,2","22,004","26,194","33,371"
"14,414","15,657","17,221","19,265","22,081","26,284","33,459"
"14,451","15,702","17,275","19,329","22,158","26,373","33,546"
"14,489","15,747","17,329","19,394","22,235","26,462","33,631"
"14,526","15,791","17,382","19,458","22,311","26,549","33,712"
"14,563","15,836","17,435","19,522","22,387","26,635","33,791"
"14,6","15,88","17,489","19,585","22,462","26,72","33,866"
"14,636","15,924","17,541","19,649","22,537","26,804","33,941"
"14,672","15,968","17,594","19,712","22,611","26,887","34,012"
"14,708","16,011","17,647","19,774","22,685","26,969","34,081"
"14,744","16,054","17,699","19,837","22,758","27,051","34,149"
"14,779","16,097","17,75","19,899","22,831","27,13","34,213"
"14,814","16,14","17,802","19,96","22,903","27,21","34,275"
"14,848","16,182","17,853","20,022","22,975","27,288","34,337"
"14,882","16,224","17,904","20,082","23,046","27,365","34,395"
"14,916","16,265","17,954","20,143","23,116","27,441","34,452"
"14,95","16,306","18,004","20,203","23,186","27,515","34,505"
"14,982","16,347","18,053","20,262","23,255","27,59","34,559"
"15,015","16,387","18,103","20,321","23,324","27,662","34,61"
"15,047","16,427","18,151","20,38","23,391","27,734","34,66"
"15,078","16,466","18,199","20,438","23,459","27,805","34,708"
"15,109","16,505","18,247","20,495","23,525","27,875","34,754"
"15,14","16,543","18,295","20,552","23,591","27,943","34,797"
"15,17","16,581","18,342","20,608","23,656","28,011","34,84"
"15,199","16,619","18,388","20,664","23,721","28,078","34,881"
"15,228","16,656","18,434","20,72","23,785","28,143","34,922"
"15,257","16,692","18,479","20,774","23,847","28,207","34,959"
"15,285","16,728","18,524","20,829","23,91","28,271","34,997"
"15,312","16,763","18,568","20,882","23,972","28,334","35,032"
"15,339","16,798","18,612","20,936","24,032","28,395","35,066"
"15,365","16,833","18,655","20,988","24,093","28,456","35,098"
"15,391","16,867","18,698","21,04","24,152","28,515","35,13"
"15,417","16,9","18,741","21,091","24,211","28,573","35,158"
"15,441","16,933","18,782","21,142","24,269","28,63","35,187"
"15,465","16,965","18,823","21,192","24,327","28,687","35,215"
"15,489","16,997","18,864","21,242","24,383","28,742","35,24"
"15,512","17,028","18,904","21,291","24,439","28,797","35,264"
"15,534","17,059","18,944","21,34","24,494","28,85","35,287"
"15,556","17,089","18,983","21,388","24,549","28,903","35,31"
"15,577","17,118","19,022","21,435","24,603","28,954","35,331"
"15,598","17,147","19,06","21,482","24,656","29,005","35,351"
"15,618","17,176","19,097","21,528","24,708","29,054","35,369"
"15,637","17,204","19,134","21,574","24,76","29,103","35,387"
"15,656","17,231","19,171","21,619","24,811","29,15","35,402"
"15,674","17,258","19,207","21,664","24,861","29,197","35,417"
"15,692","17,284","19,242","21,708","24,911","29,243","35,432"
"15,709","17,31","19,277","21,751","24,959","29,287","35,443"
"15,725","17,335","19,311","21,794","25,008","29,331","35,455"
"15,741","17,36","19,344","21,836","25,055","29,373","35,465"
"15,756","17,383","19,377","21,877","25,102","29,415","35,476"
"15,771","17,407","19,41","21,918","25,147","29,455","35,483"
"15,784","17,429","19,442","21,958","25,193","29,496","35,492"
"15,798","17,452","19,473","21,998","25,237","29,534","35,498"
"15,811","17,473","19,504","22,037","25,281","29,572","35,503"
"15,823","17,495","19,535","22,076","25,324","29,609","35,507"
"15,834","17,515","19,564","22,114","25,366","29,646","35,512"
"15,845","17,535","19,594","22,151","25,408","29,681","35,515"
"15,855","17,554","19,622","22,188","25,449","29,716","35,516"
