-3,-2,-1,0,1,2,3
"138,731","145,677","152,623","159,569","166,515","173,461","180,407"
"138,961","145,903","152,846","159,789","166,732","173,675","180,617"
"139,181","146,12","153,059","159,998","166,937","173,877","180,816"
"139,387","146,324","153,261","160,197","167,134","174,07","181,007"
"139,59","146,522","153,454","160,386","167,318","174,249","181,181"
"139,784","146,711","153,638","160,564","167,491","174,418","181,345"
"139,965","146,888","153,81","160,733","167,656","174,579","181,502"
"140,142","147,059","153,976","160,893","167,809","174,726","181,643"
"140,307","147,219","154,131","161,043","167,955","174,867","181,779"
"140,469","147,374","154,279","161,184","168,09","174,995","181,9"
"140,619","147,518","154,418","161,318","168,217","175,117","182,016"
"140,762","147,655","154,549","161,442","168,336","175,23","182,123"
"140,898","147,785","154,672","161,56","168,447","175,334","182,221"
"141,032","147,911","154,79","161,669","168,548","175,427","182,306"
"141,156","148,028","154,9","161,772","168,644","175,516","182,388"
"141,273","148,138","155,003","161,867","168,732","175,597","182,462"
"141,38","148,239","155,098","161,956","168,815","175,674","182,533"
"141,486","148,337","155,188","162,039","168,89","175,741","182,592"
"141,588","148,431","155,273","162,116","168,959","175,802","182,645"
"141,684","148,519","155,353","162,188","169,023","175,857","182,692"
"141,771","148,599","155,427","162,254","169,082","175,91","182,737"
"141,859","148,678","155,497","162,315","169,134","175,953","182,772"
"141,937","148,749","155,56","162,372","169,183","175,995","182,806"
"142,012","148,816","155,62","162,424","169,228","176,032","182,836"
"142,088","148,883","155,677","162,472","169,266","176,061","182,855"
"142,156","148,942","155,729","162,516","169,302","176,089","182,876"
"142,22","148,999","155,777","162,556","169,335","176,113","182,892"
"142,282","149,053","155,823","162,593","169,364","176,134","182,904"
"142,341","149,103","155,866","162,628","169,39","176,152","182,914"
"142,399","149,152","155,906","162,659","169,413","176,167","182,92"
"142,449","149,196","155,942","162,689","169,436","176,182","182,929"
"142,502","149,24","155,978","162,716","169,455","176,193","182,931"
"142,549","149,28","156,011","162,742","169,474","176,205","182,936"
"142,6","149,322","156,045","162,767","169,489","176,212","182,934"
"142,645","149,36","156,075","162,79","169,506","176,221","182,936"
"142,694","149,4","156,106","162,813","169,519","176,225","182,931"
"142,737","149,436","156,135","162,834","169,533","176,232","182,931"
"142,779","149,471","156,163","162,854","169,546","176,238","182,93"
"142,821","149,506","156,19","162,874","169,559","176,243","182,927"
"142,862","149,539","156,216","162,894","169,571","176,248","182,925"
"142,903","149,573","156,242","162,912","169,582","176,251","182,921"
"142,943","149,606","156,268","162,93","169,592","176,254","182,917"
"142,983","149,638","156,293","162,948","169,602","176,257","182,912"
"143,018","149,667","156,316","162,965","169,614","176,263","182,912"
"143,057","149,699","156,34","162,982","169,623","176,265","182,906"
"143,091","149,727","156,363","162,998","169,634","176,27","182,905"
"143,13","149,758","156,386","163,014","169,643","176,271","182,899"
"143,163","149,785","156,408","163,03","169,652","176,275","182,897"
"143,196","149,812","156,429","163,045","169,661","176,278","182,894"
"143,233","149,842","156,451","163,06","169,668","176,277","182,886"
"143,265","149,868","156,47","163,073","169,676","176,279","182,882"
"143,296","149,893","156,489","163,086","169,683","176,28","182,877"
"143,326","149,917","156,507","163,098","169,689","176,28","182,871"
"143,355","149,94","156,524","163,109","169,694","176,279","182,863"
"143,379","149,959","156,539","163,119","169,699","176,28","182,86"
"143,406","149,98","156,554","163,128","169,702","176,276","182,85"
"143,432",150,"156,568","163,136","169,703","176,271","182,839"
"143,452","150,015","156,579","163,142","169,705","176,268","182,831"
"143,476","150,033","156,59","163,147","169,704","176,261","182,818"
"143,494","150,047","156,599","163,151","169,703","176,255","182,807"
"143,516","150,062","156,608","163,153","169,699","176,245","182,791"
"143,532","150,073","156,614","163,155","169,696","176,237","182,777"
