-3,-2,-1,0,1,2,3
"12,718","14,367","16,279","18,506","21,109","24,165","27,77"
"12,833","14,496","16,428","18,68","21,319","24,423","28,093"
"12,95","14,627","16,578","18,856","21,53","24,683","28,42"
"13,067","14,759","16,729","19,034","21,744","24,946","28,75"
"13,186","14,892","16,882","19,213","21,959","25,21","29,083"
"13,307","15,027","17,036","19,394","22,176","25,477","29,42"
"13,429","15,164","17,192","19,576","22,395","25,747","29,76"
"13,553","15,302","17,35","19,761","22,615","26,018","30,102"
"13,679","15,442","17,509","19,947","22,839","26,293","30,449"
"13,805","15,583","17,67","20,134","23,063","26,569","30,799"
"13,934","15,726","17,832","20,324","23,29","26,848","31,153"
"14,063","15,87","17,996","20,514","23,517","27,129","31,508"
"14,193","16,015","18,16","20,705","23,747","27,412","31,868"
"14,324","16,16","18,326","20,898","23,978","27,697","32,231"
"14,456","16,307","18,492","21,092","24,21","27,984","32,598"
"14,588","16,454","18,659","21,287","24,445","28,275","32,969"
"14,721","16,602","18,828","21,483","24,68","28,567","33,343"
"14,855","16,751","18,997","21,681","24,918","28,862","33,723"
"14,99","16,9","19,167","21,88","25,158","29,161","34,107"
"15,125","17,05","19,338","22,08","25,399","29,461","34,495"
"15,259","17,201","19,51","22,281","25,642","29,765","34,889"
"15,395","17,352","19,682","22,484","25,887","30,072","35,287"
"15,531","17,503","19,855","22,687","26,134","30,382","35,692"
"15,666","17,655","20,029","22,892","26,382","30,695","36,1"
"15,802","17,807","20,203","23,097","26,632","31,011","36,515"
"15,937","17,958","20,377","23,303","26,885","31,33","36,936"
"16,072","18,11","20,552","23,51","27,138","31,653","37,363"
"16,207","18,262","20,727","23,718","27,394","31,979","37,795"
"16,341","18,414","20,903","23,927","27,652","32,309","38,236"
"16,475","18,565","21,078","24,137","27,911","32,642","38,682"
"16,609","18,717","21,255","24,348","28,172","32,979","39,135"
"16,742","18,868","21,431","24,56","28,436","33,32","39,597"
"16,875","19,019","21,607","24,772","28,701","33,665","40,065"
"17,008","19,17","21,784","24,986","28,969","34,015","40,542"
"17,14","19,321","21,961","25,2","29,239","34,368","41,027"
"17,271","19,472","22,138","25,416","29,512","34,727","41,521"
"17,402","19,622","22,316","25,633","29,787","35,091","42,025"
"17,532","19,772","22,494","25,851","30,064","35,459","42,538"
"17,662","19,922","22,672","26,071","30,344","35,832","43,06"
"17,792","20,072","22,851","26,291","30,627","36,21","43,591"
"17,921","20,222","23,031","26,513","30,912","36,593","44,131"
"18,05","20,372","23,21","26,736","31,199","36,981","44,682"
"18,178","20,522","23,39","26,96","31,49","37,376","45,244"
"18,306","20,672","23,571","27,186","31,784","37,774","45,815"
"18,433","20,822","23,753","27,414","32,08","38,179","46,397"
"18,561","20,972","23,936","27,643","32,381","38,591","46,992"
"18,689","21,123","24,119","27,875","32,685","39,009","47,598"
"18,817","21,275","24,305","28,109","32,993","39,433","48,214"
"18,945","21,428","24,492","28,346","33,305","39,864","48,843"
"19,075","21,582","24,681","28,585","33,621","40,301","49,483"
"19,205","21,737","24,871","28,828","33,941","40,744","50,132"
"19,336","21,894","25,064","29,073","34,266","41,195","50,792"
"19,468","22,052","25,259","29,322","34,595","41,652","51,463"
"19,601","22,212","25,457","29,574","34,929","42,116","52,146"
"19,735","22,373","25,656","29,829","35,268","42,587","52,838"
"19,87","22,537","25,859","30,088","35,612","43,063","53,538"
"20,006","22,701","26,064","30,35","35,96","43,547","54,248"
"20,143","22,868","26,271","30,616","36,313","44,038","54,968"
"20,281","23,036","26,481","30,885","36,671","44,534","55,695"
"20,42","23,206","26,694","31,159","37,035","45,038","56,434"
